	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
6279					A0A8C5QE48	39.3	351	1.76e-81	TrEMBL		A0A8C5QE48_9ANUR	tr|A0A8C5QE48|A0A8C5QE48_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	677	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6280					A0A8C5MW43	40.1	354	6.18e-81	TrEMBL		A0A8C5MW43_9ANUR	tr|A0A8C5MW43|A0A8C5MW43_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1005	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6281					A0A8C5WHC3	37.5	440	2.93e-80	TrEMBL		A0A8C5WHC3_9ANUR	tr|A0A8C5WHC3|A0A8C5WHC3_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	471	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6282					A0A8C5PAU0	39.0	354	3.32e-80	TrEMBL		A0A8C5PAU0_9ANUR	tr|A0A8C5PAU0|A0A8C5PAU0_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	934	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6283					A0A8C5QUS4	38.6	396	4.91e-80	TrEMBL		A0A8C5QUS4_9ANUR	tr|A0A8C5QUS4|A0A8C5QUS4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	872	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6284					A0A8C5M923	44.8	290	5.86e-80	TrEMBL		A0A8C5M923_9ANUR	tr|A0A8C5M923|A0A8C5M923_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	683	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6285					A0A8C5MKY4	38.3	363	6.33e-80	TrEMBL		A0A8C5MKY4_9ANUR	tr|A0A8C5MKY4|A0A8C5MKY4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	771	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6286					A0A8C5PDL4	39.3	351	7.75e-80	TrEMBL		A0A8C5PDL4_9ANUR	tr|A0A8C5PDL4|A0A8C5PDL4_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	880	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6287					A0A8C5M845	40.5	328	7.87e-80	TrEMBL		A0A8C5M845_9ANUR	tr|A0A8C5M845|A0A8C5M845_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	330	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6288					A0A8C5PEM8	37.4	446	8.64e-80	TrEMBL		A0A8C5PEM8_9ANUR	tr|A0A8C5PEM8|A0A8C5PEM8_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	700	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6289					A0A8C5LPX2	38.3	397	1.45e-79	TrEMBL		A0A8C5LPX2_9ANUR	tr|A0A8C5LPX2|A0A8C5LPX2_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	647	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6290					A0A803JWN0	37.2	444	2.26e-79	TrEMBL		A0A803JWN0_XENTR	tr|A0A803JWN0|A0A803JWN0_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	1267	Xenopus tropicalis	Reverse transcriptase domain-containing protein
6291					A0A8C5LMV1	37.5	440	3.0200000000000005e-79	TrEMBL		A0A8C5LMV1_9ANUR	tr|A0A8C5LMV1|A0A8C5LMV1_9ANUR Endo/exonuclease/phosphatase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	547	Leptobrachium leishanense	Endo/exonuclease/phosphatase domain-containing protein
6292					A0A8C5MU50	39.9	351	3.23e-79	TrEMBL		A0A8C5MU50_9ANUR	tr|A0A8C5MU50|A0A8C5MU50_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	787	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6293					A0A803J5Q1	34.9	418	8.250000000000001e-79	TrEMBL		A0A803J5Q1_XENTR	tr|A0A803J5Q1|A0A803J5Q1_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	1274	Xenopus tropicalis	Reverse transcriptase domain-containing protein
6294					A0A8C5QAA5	39.2	365	1.14e-78	TrEMBL		A0A8C5QAA5_9ANUR	tr|A0A8C5QAA5|A0A8C5QAA5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	783	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6295					A0A8C5WHX1	40.8	341	1.18e-78	TrEMBL		A0A8C5WHX1_9ANUR	tr|A0A8C5WHX1|A0A8C5WHX1_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1225	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6296					A0A8C5PW08	37.8	447	1.59e-78	TrEMBL		A0A8C5PW08_9ANUR	tr|A0A8C5PW08|A0A8C5PW08_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1277	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6297					A0A8C5PNC3	37.5	395	1.63e-78	TrEMBL		A0A8C5PNC3_9ANUR	tr|A0A8C5PNC3|A0A8C5PNC3_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	766	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6298					A0A8C5WGU9	35.8	416	2.35e-78	TrEMBL		A0A8C5WGU9_9ANUR	tr|A0A8C5WGU9|A0A8C5WGU9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1185	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6299					A0A803KCZ5	35.3	402	3.03e-78	TrEMBL		A0A803KCZ5_XENTR	tr|A0A803KCZ5|A0A803KCZ5_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	442	Xenopus tropicalis	Reverse transcriptase domain-containing protein
6300					A0A8C5Q7A1	39.3	351	4.23e-78	TrEMBL		A0A8C5Q7A1_9ANUR	tr|A0A8C5Q7A1|A0A8C5Q7A1_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1286	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6301					A0A8C5QG33	35.8	447	4.69e-78	TrEMBL		A0A8C5QG33_9ANUR	tr|A0A8C5QG33|A0A8C5QG33_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	889	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6302					A0A8C5LIY0	40.1	349	6.98e-78	TrEMBL		A0A8C5LIY0_9ANUR	tr|A0A8C5LIY0|A0A8C5LIY0_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	399	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6303					A0A803KBM6	34.9	450	7.08e-78	TrEMBL		A0A803KBM6_XENTR	tr|A0A803KBM6|A0A803KBM6_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	669	Xenopus tropicalis	Reverse transcriptase domain-containing protein
6304					A0A8C5Q914	36.8	399	7.18e-78	TrEMBL		A0A8C5Q914_9ANUR	tr|A0A8C5Q914|A0A8C5Q914_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1265	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6305					A0A8C5R1M5	37.6	351	7.61e-78	TrEMBL		A0A8C5R1M5_9ANUR	tr|A0A8C5R1M5|A0A8C5R1M5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	367	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6306					A0A8C5P8V1	34.7	453	1.44e-77	TrEMBL		A0A8C5P8V1_9ANUR	tr|A0A8C5P8V1|A0A8C5P8V1_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	538	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6307					A0A8C5WHL5	37.5	440	1.8600000000000002e-77	TrEMBL		A0A8C5WHL5_9ANUR	tr|A0A8C5WHL5|A0A8C5WHL5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	869	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6308					A0A803JJA9	37.4	441	1.88e-77	TrEMBL		A0A803JJA9_XENTR	tr|A0A803JJA9|A0A803JJA9_XENTR Reverse transcriptase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	1267	Xenopus tropicalis	Reverse transcriptase domain-containing protein
6309					A0A8C5LUF5	37.4	446	3.1400000000000002e-77	TrEMBL		A0A8C5LUF5_9ANUR	tr|A0A8C5LUF5|A0A8C5LUF5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1190	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6310					A0A8C5MLZ2	38.0	445	5.08e-77	TrEMBL		A0A8C5MLZ2_9ANUR	tr|A0A8C5MLZ2|A0A8C5MLZ2_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1277	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6311					A0A8C5PQP3	37.2	438	6.0400000000000004e-77	TrEMBL		A0A8C5PQP3_9ANUR	tr|A0A8C5PQP3|A0A8C5PQP3_9ANUR Endo/exonuclease/phosphatase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	541	Leptobrachium leishanense	Endo/exonuclease/phosphatase domain-containing protein
6312					A0A8C5LV43	36.4	442	7.34e-77	TrEMBL		A0A8C5LV43_9ANUR	tr|A0A8C5LV43|A0A8C5LV43_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	895	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6313					A0A8C5QGH6	38.4	445	1.39e-76	TrEMBL		A0A8C5QGH6_9ANUR	tr|A0A8C5QGH6|A0A8C5QGH6_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	716	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6314					A0A8C5MDW0	35.9	446	1.53e-76	TrEMBL		A0A8C5MDW0_9ANUR	tr|A0A8C5MDW0|A0A8C5MDW0_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	721	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6315					A0A8C5Q7B2	37.1	439	1.56e-76	TrEMBL		A0A8C5Q7B2_9ANUR	tr|A0A8C5Q7B2|A0A8C5Q7B2_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1248	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6316					A0A8C5P6I5	37.8	445	1.67e-76	TrEMBL		A0A8C5P6I5_9ANUR	tr|A0A8C5P6I5|A0A8C5P6I5_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	659	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6317					A0A8C5WL06	37.8	445	3.14e-76	TrEMBL		A0A8C5WL06_9ANUR	tr|A0A8C5WL06|A0A8C5WL06_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	657	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6318					A0A8C5Q3X7	37.7	443	3.38e-76	TrEMBL		A0A8C5Q3X7_9ANUR	tr|A0A8C5Q3X7|A0A8C5Q3X7_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	1279	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6319					A0A8C5MWK9	38.1	449	3.48e-76	TrEMBL		A0A8C5MWK9_9ANUR	tr|A0A8C5MWK9|A0A8C5MWK9_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	937	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6320					A0A8C5MG43	36.2	439	3.87e-76	TrEMBL		A0A8C5MG43_9ANUR	tr|A0A8C5MG43|A0A8C5MG43_9ANUR Reverse transcriptase domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	651	Leptobrachium leishanense	Reverse transcriptase domain-containing protein
6321					XP_040264811.1	34.6	448	3.67e-75	Nr			XP_040264811.1 mucin-5AC-like [Bufo bufo]	6265	Bufo bufo	mucin-5AC-like
6322					XP_044133655.1	36.8	448	5.72e-72	Nr			XP_044133655.1 IgGFc-binding protein-like [Bufo gargarizans]	6315	Bufo gargarizans	IgGFc-binding protein-like
6323					XP_044151381.1	36.0	420	1.83e-67	Nr			XP_044151381.1 transmembrane channel-like protein 2 [Bufo gargarizans]	1358	Bufo gargarizans	transmembrane channel-like protein 2
6324					XP_018410174.1	37.5	397	2.1299999999999998e-67	Nr			XP_018410174.1 PREDICTED: poly [ADP-ribose] polymerase 4-like [Nanorana parkeri]	1730	Nanorana parkeri	PREDICTED: poly
6325					KAG7499883.1	33.2	440	9.99e-67	Nr			KAG7499883.1 PHD finger protein 14 isoform X1 [Solea senegalensis]	1773	Solea senegalensis	PHD finger protein 14 isoform X1
6326					XP_041436982.1	34.5	406	4.91e-65	Nr			XP_041436982.1 TRAF3 interacting protein 2 L homeolog isoform X1 [Xenopus laevis]	946	Xenopus laevis	TRAF3 interacting protein 2 L homeolog isoform X1
6327					XP_040178126.1	34.2	445	1.93e-63	Nr			XP_040178126.1 microsomal triglyceride transfer protein-like [Rana temporaria]	1440	Rana temporaria	microsomal triglyceride transfer protein-like
6328					XP_051711457.1	37.5	291	4.91e-63	Nr			XP_051711457.1 E3 ubiquitin-protein ligase E3D isoform X1 [Oryctolagus cuniculus]	415	Oryctolagus cuniculus	E3 ubiquitin-protein ligase E3D isoform X1
6329					XP_040178291.1	33.5	376	1.41e-62	Nr			XP_040178291.1 uncharacterized protein LOC120910599, partial [Rana temporaria]	2918	Rana temporaria	uncharacterized protein LOC120910599, partial
6330					WP_251858974.1	34.2	357	3.48e-62	Nr			WP_251858974.1 reverse transcriptase domain-containing protein, partial [Escherichia coli]	412	Escherichia coli	reverse transcriptase domain-containing protein, partial
6331					CAI5689795.1	33.0	443	4.76e-62	Nr			CAI5689795.1 unnamed protein product [Mustela putorius furo]	634	Mustela putorius furo	unnamed protein product
6332					P08548	37.7	289	7.4e-62	Swiss-Prot		LIN1_NYCCO	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=4 SV=1	1260	Nycticebus coucang	LINE-1 reverse transcriptase homolog
6333					XP_051701996.1	37.5	291	1.3999999999999999e-61	Nr			XP_051701996.1 LINE-1 retrotransposable element ORF2 protein isoform X1 [Oryctolagus cuniculus]	375	Oryctolagus cuniculus	LINE-1 retrotransposable element ORF2 protein isoform X1
6334					CAI5636556.1	40.2	286	6.959999999999999e-61	Nr			CAI5636556.1 unnamed protein product [Mustela putorius furo]	984	Mustela putorius furo	unnamed protein product
6335					XP_051708119.1	37.8	291	2.76e-60	Nr			XP_051708119.1 LINE-1 retrotransposable element ORF2 protein isoform X1 [Oryctolagus cuniculus]	680	Oryctolagus cuniculus	LINE-1 retrotransposable element ORF2 protein isoform X1
6336					XP_051675613.1	37.5	291	7.41e-60	Nr			XP_051675613.1 cilia- and flagella-associated protein 299 isoform X1 [Oryctolagus cuniculus]	680	Oryctolagus cuniculus	cilia- and flagella-associated protein 299 isoform X1
6337					EJP2926417.1	32.1	443	1.09e-59	Nr			EJP2926417.1 endonuclease/exonuclease/phosphatase family protein [Campylobacter jejuni]	522	Campylobacter jejuni	endonuclease/exonuclease/phosphatase family protein
6338					XP_040197467.1	35.5	414	1.4000000000000001e-59	Nr			XP_040197467.1 cytosolic carboxypeptidase 4 [Rana temporaria]	1575	Rana temporaria	cytosolic carboxypeptidase 4
6339					CAI5674631.1	29.9	442	4.21e-59	Nr			CAI5674631.1 unnamed protein product [Mustela putorius furo]	1270	Mustela putorius furo	unnamed protein product
6340					KAB0353350.1	36.7	289	4.99e-59	Nr			KAB0353350.1 hypothetical protein FD755_023945, partial [Muntiacus reevesi]	600	Muntiacus reevesi	hypothetical protein FD755_023945, partial
6341					XP_023192802.1	34.3	443	5.65e-59	Nr			XP_023192802.1 WD repeat-containing protein 3 isoform X1 [Xiphophorus maculatus]	1258	Xiphophorus maculatus	WD repeat-containing protein 3 isoform X1
6342					KAB0377107.1	36.7	289	6.59e-59	Nr			KAB0377107.1 hypothetical protein FD755_011551 [Muntiacus reevesi]	615	Muntiacus reevesi	hypothetical protein FD755_011551
6343					P08548.1	37.7	289	7.47e-59	Nr			P08548.1 RecName: Full=LINE-1 reverse transcriptase homolog [Nycticebus coucang]	1260	Nycticebus coucang	RecName: Full=LINE-1 reverse transcriptase homolog
6344					KAB0370384.1	36.7	289	8.48e-59	Nr			KAB0370384.1 hypothetical protein FD755_018346 [Muntiacus reevesi]	648	Muntiacus reevesi	hypothetical protein FD755_018346
6345					KAB0341040.1	36.7	289	9.94e-59	Nr			KAB0341040.1 hypothetical protein FD755_024496, partial [Muntiacus reevesi]	638	Muntiacus reevesi	hypothetical protein FD755_024496, partial
6346					WP_255248840.1	36.4	280	1.46e-58	Nr			WP_255248840.1 reverse transcriptase family protein [Enterobacter hormaechei]	368	Enterobacter hormaechei	reverse transcriptase family protein
6347					CAI5685855.1	30.8	441	1.94e-58	Nr			CAI5685855.1 unnamed protein product [Mustela putorius furo]	1267	Mustela putorius furo	unnamed protein product
6348					KAB0353206.1	36.3	289	2.1100000000000002e-58	Nr			KAB0353206.1 hypothetical protein FD755_024080, partial [Muntiacus reevesi]	606	Muntiacus reevesi	hypothetical protein FD755_024080, partial
6349					KAB0353281.1	36.3	289	3.19e-58	Nr			KAB0353281.1 hypothetical protein FD755_024010 [Muntiacus reevesi]	629	Muntiacus reevesi	hypothetical protein FD755_024010
6350					KAB0369486.1	36.3	289	4e-58	Nr			KAB0369486.1 hypothetical protein FD755_019491, partial [Muntiacus reevesi]	587	Muntiacus reevesi	hypothetical protein FD755_019491, partial
6351					KAB0337449.1	36.3	289	4.09e-58	Nr			KAB0337449.1 hypothetical protein FD754_025185, partial [Muntiacus muntjak]	606	Muntiacus muntjak	hypothetical protein FD754_025185, partial
6352					CAI5674000.1	31.1	438	4.36e-58	Nr			CAI5674000.1 unnamed protein product [Mustela putorius furo]	554	Mustela putorius furo	unnamed protein product
6353					XP_025766329.1	31.1	438	4.36e-58	Nr			XP_025766329.1 uncharacterized protein LOC106098505 [Oreochromis niloticus]	554	Oreochromis niloticus	uncharacterized protein LOC106098505
6354					ABR01162.1	32.4	386	4.7300000000000005e-58	Nr			ABR01162.1 endonuclease/reverse transcriptase [Sus scrofa]	1272	Sus scrofa	endonuclease/reverse transcriptase
6355					KAB0377679.1	36.3	289	4.82e-58	Nr			KAB0377679.1 hypothetical protein FD755_009257 [Muntiacus reevesi]	615	Muntiacus reevesi	hypothetical protein FD755_009257
6356					KAB0350657.1	36.3	289	5.1100000000000006e-58	Nr			KAB0350657.1 hypothetical protein FD754_015514, partial [Muntiacus muntjak]	600	Muntiacus muntjak	hypothetical protein FD754_015514, partial
6357					WP_183075694.1	31.4	443	5.22e-58	Nr			WP_183075694.1 endonuclease/exonuclease/phosphatase family protein [Mycobacterium tuberculosis]	580	Mycobacterium tuberculosis	endonuclease/exonuclease/phosphatase family protein
6358					KAB0338094.1	36.3	289	5.7e-58	Nr			KAB0338094.1 hypothetical protein FD754_024809, partial [Muntiacus muntjak]	606	Muntiacus muntjak	hypothetical protein FD754_024809, partial
6359					KAB0354314.1	36.3	289	6.6e-58	Nr			KAB0354314.1 hypothetical protein FD755_022852, partial [Muntiacus reevesi]	614	Muntiacus reevesi	hypothetical protein FD755_022852, partial
6360					KAB0337795.1	36.3	289	6.72e-58	Nr			KAB0337795.1 hypothetical protein FD754_024985, partial [Muntiacus muntjak]	615	Muntiacus muntjak	hypothetical protein FD754_024985, partial
6361					AAD02928.1	31.9	442	8.900000000000001e-58	Nr			AAD02928.1 reverse transcriptase [Oryzias latipes]	1258	Oryzias latipes	reverse transcriptase
6362					KAI5938623.1	32.6	442	1.56e-57	Nr			KAI5938623.1 LINE-1 retrotransposable element ORF2 protein [Manis javanica]	804	Manis javanica	LINE-1 retrotransposable element ORF2 protein
6363					AIE45854.1	32.4	448	1.67e-57	Nr			AIE45854.1 ORF2 [synthetic construct]	1276	synthetic construct	ORF2
6364					CAI5637690.1	33.2	449	2.2500000000000001e-57	Nr			CAI5637690.1 unnamed protein product [Mustela putorius furo]	1270	Mustela putorius furo	unnamed protein product
6365					KAI5944913.1	33.4	440	2.7200000000000004e-57	Nr			KAI5944913.1 LINE-1 retrotransposable element ORF2 protein [Manis javanica]	562	Manis javanica	LINE-1 retrotransposable element ORF2 protein
6366					OCT93828.1	32.3	449	9.47e-57	Nr			OCT93828.1 hypothetical protein XELAEV_18011499mg [Xenopus laevis]	2634	Xenopus laevis	hypothetical protein XELAEV_18011499mg
6367					KAJ0059923.1	32.7	443	1.4000000000000002e-56	Nr			KAJ0059923.1 hypothetical protein NL108_015598 [Boleophthalmus pectinirostris]	1258	Boleophthalmus pectinirostris	hypothetical protein NL108_015598
6368					O00370	31.2	439	2.11e-56	Swiss-Prot		LORF2_HUMAN	sp|O00370|LORF2_HUMAN LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens OX=9606 PE=1 SV=1	1275	Homo sapiens	LINE-1 retrotransposable element ORF2 protein
6369					AAD02930.1	31.2	442	3.49e-56	Nr			AAD02930.1 reverse transcriptase [Oryzias latipes]	1258	Oryzias latipes	reverse transcriptase
6370					XP_052327179.1	30.9	446	4.0600000000000002e-56	Nr			XP_052327179.1 protein arginine methyltransferase NDUFAF7, mitochondrial isoform X1 [Oncorhynchus keta]	751	Oncorhynchus keta	protein arginine methyltransferase NDUFAF7, mitochondrial isoform X1
6371					WP_256262922.1	31.0	439	6.100000000000001e-56	Nr			WP_256262922.1 reverse transcriptase domain-containing protein, partial [Streptococcus sp. HMSC072D03]	568	Streptococcus sp. HMSC072D03	reverse transcriptase domain-containing protein, partial
6372					WP_215727951.1	31.2	443	7.4e-56	Nr			WP_215727951.1 reverse transcriptase domain-containing protein [Mycobacterium tuberculosis]	774	Mycobacterium tuberculosis	reverse transcriptase domain-containing protein
6373					P08548	31.6	446	9.610000000000001e-56	Swiss-Prot		LIN1_NYCCO	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=4 SV=1	1260	Nycticebus coucang	LINE-1 reverse transcriptase homolog
6374					P11369	34.9	284	7.81e-55	Swiss-Prot	Pol	LORF2_MOUSE	sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2	1281	Mus musculus	LINE-1 retrotransposable element ORF2 protein
6375					O00370	36.7	270	1.0599999999999999e-54	Swiss-Prot		LORF2_HUMAN	sp|O00370|LORF2_HUMAN LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens OX=9606 PE=1 SV=1	1275	Homo sapiens	LINE-1 retrotransposable element ORF2 protein
6376					P11369	28.9	439	3.36e-50	Swiss-Prot	Pol	LORF2_MOUSE	sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2	1281	Mus musculus	LINE-1 retrotransposable element ORF2 protein
6377					P14381	25.5	443	4.27e-22	Swiss-Prot		YTX2_XENLA	sp|P14381|YTX2_XENLA Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	1308	Xenopus laevis	Transposon TX1 uncharacterized 149 kDa protein
6378					P14381	26.9	286	1.16e-18	Swiss-Prot		YTX2_XENLA	sp|P14381|YTX2_XENLA Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	1308	Xenopus laevis	Transposon TX1 uncharacterized 149 kDa protein
6379					KAG8584414.1	36.0	139	8.71e-15	Nr			KAG8584414.1 hypothetical protein GDO81_008823 [Engystomops pustulosus]	478	Engystomops pustulosus	hypothetical protein GDO81_008823
6380					A0A8C5W7Z5	37.8	135	2.74e-14	TrEMBL		A0A8C5W7Z5_9ANUR	tr|A0A8C5W7Z5|A0A8C5W7Z5_9ANUR Transposase_22 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	271	Leptobrachium leishanense	Transposase_22 domain-containing protein
6381					CAH2329919.1	39.6	139	9.94e-14	Nr			CAH2329919.1 Hypothetical predicted protein [Pelobates cultripes]	332	Pelobates cultripes	Hypothetical predicted protein
6382					A0A803JMB6	45.6	79	1.73e-13	TrEMBL		A0A803JMB6_XENTR	tr|A0A803JMB6|A0A803JMB6_XENTR LINE-1 type transposase domain-containing protein 1 OS=Xenopus tropicalis OX=8364 PE=4 SV=1	363	Xenopus tropicalis	LINE-1 type transposase domain-containing protein 1
6383					A0A8T2KBV4	34.0	147	2.31e-13	TrEMBL	GDO86_003963	A0A8T2KBV4_9PIPI	tr|A0A8T2KBV4|A0A8T2KBV4_9PIPI Transposase element L1Md-A101/L1Md-A102/L1Md-A2 OS=Hymenochirus boettgeri OX=247094 GN=GDO86_003963 PE=4 SV=1	431	Hymenochirus boettgeri	Transposase element L1Md-A101/L1Md-A102/L1Md-A2
6384					KAG8451976.1	34.0	147	5.93e-13	Nr			KAG8451976.1 hypothetical protein GDO86_003963 [Hymenochirus boettgeri]	431	Hymenochirus boettgeri	hypothetical protein GDO86_003963
6385					A0A8C5LK86	44.3	79	7.95e-13	TrEMBL		A0A8C5LK86_9ANUR	tr|A0A8C5LK86|A0A8C5LK86_9ANUR LINE-1 retrotransposable element ORF2 protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	349	Leptobrachium leishanense	LINE-1 retrotransposable element ORF2 protein
6386					XP_018408440.1	37.0	135	1.13e-12	Nr			XP_018408440.1 PREDICTED: contactin-5, partial [Nanorana parkeri]	1260	Nanorana parkeri	PREDICTED: contactin-5, partial
6387					A0A8C5PEA5	46.8	79	1.47e-12	TrEMBL		A0A8C5PEA5_9ANUR	tr|A0A8C5PEA5|A0A8C5PEA5_9ANUR LINE-1 type transposase domain-containing protein 1 OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	344	Leptobrachium leishanense	LINE-1 type transposase domain-containing protein 1
6388					A0A8C5PLK2	46.8	79	1.47e-12	TrEMBL		A0A8C5PLK2_9ANUR	tr|A0A8C5PLK2|A0A8C5PLK2_9ANUR LINE-1 retrotransposable element ORF1 protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	344	Leptobrachium leishanense	LINE-1 retrotransposable element ORF1 protein
