	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
10928					Q2VPN2	94.0	151	8.38e-90	TrEMBL	snrpb.L	Q2VPN2_XENLA	tr|Q2VPN2|Q2VPN2_XENLA Small nuclear ribonucleoprotein-associated protein OS=Xenopus laevis OX=8355 GN=snrpb.L PE=2 SV=1	234	Xenopus laevis	Small nuclear ribonucleoprotein-associated protein
10929					A0A8C4XJZ9	95.9	146	8.38e-90	TrEMBL		A0A8C4XJZ9_FALTI	tr|A0A8C4XJZ9|A0A8C4XJZ9_FALTI Small nuclear ribonucleoprotein-associated protein OS=Falco tinnunculus OX=100819 PE=3 SV=1	234	Falco tinnunculus	Small nuclear ribonucleoprotein-associated protein
10930					A0A8B9P7X2	95.9	146	8.38e-90	TrEMBL		A0A8B9P7X2_APTOW	tr|A0A8B9P7X2|A0A8B9P7X2_APTOW Small nuclear ribonucleoprotein-associated protein OS=Apteryx owenii OX=8824 PE=3 SV=1	234	Apteryx owenii	Small nuclear ribonucleoprotein-associated protein
10931					A0A8V5GJX8	95.9	146	8.38e-90	TrEMBL	LOC101880393	A0A8V5GJX8_MELUD	tr|A0A8V5GJX8|A0A8V5GJX8_MELUD Uncharacterized protein OS=Melopsittacus undulatus OX=13146 GN=LOC101880393 PE=4 SV=1	234	Melopsittacus undulatus	Uncharacterized protein
10932					XP_025904111.1	95.9	146	8.95e-90	Nr			XP_025904111.1 small nuclear ribonucleoprotein-associated proteins B and B' isoform X3 [Nothoprocta perdicaria]	208	Nothoprocta perdicaria	small nuclear ribonucleoprotein-associated proteins B and B' isoform X3
10933					A0A444V5M3	96.6	146	9.259999999999999e-90	TrEMBL	EOD39_11612	A0A444V5M3_ACIRT	tr|A0A444V5M3|A0A444V5M3_ACIRT Small nuclear ribonucleoprotein-associated protein OS=Acipenser ruthenus OX=7906 GN=EOD39_11612 PE=3 SV=1	237	Acipenser ruthenus	Small nuclear ribonucleoprotein-associated protein
10934					B5XAK0	96.6	146	9.259999999999999e-90	TrEMBL	RSMB	B5XAK0_SALSA	tr|B5XAK0|B5XAK0_SALSA Small nuclear ribonucleoprotein-associated protein OS=Salmo salar OX=8030 GN=RSMB PE=2 SV=1	237	Salmo salar	Small nuclear ribonucleoprotein-associated protein
10935					A0A8C7CCG9	96.6	146	9.259999999999999e-90	TrEMBL	snrpb	A0A8C7CCG9_ONCKI	tr|A0A8C7CCG9|A0A8C7CCG9_ONCKI Small nuclear ribonucleoprotein-associated protein OS=Oncorhynchus kisutch OX=8019 GN=snrpb PE=3 SV=1	237	Oncorhynchus kisutch	Small nuclear ribonucleoprotein-associated protein
10936					XP_025904110.1	95.9	146	1.0999999999999999e-89	Nr			XP_025904110.1 small nuclear ribonucleoprotein-associated proteins B and B' isoform X2 [Nothoprocta perdicaria]	214	Nothoprocta perdicaria	small nuclear ribonucleoprotein-associated proteins B and B' isoform X2
10937					NP_001080161.1	94.0	151	1.1399999999999999e-89	Nr			NP_001080161.1 small nuclear ribonucleoprotein polypeptides B and B1 S homeolog [Xenopus laevis]	236	Xenopus laevis	small nuclear ribonucleoprotein polypeptides B and B1 S homeolog
10938					CAB1315549.1	96.6	146	1.3e-89	Nr			CAB1315549.1 unnamed protein product [Coregonus sp. 'balchen']	219	Coregonus sp. 'balchen'	unnamed protein product
10939					XP_018419797.1	94.1	153	1.31e-89	Nr			XP_018419797.1 PREDICTED: small nuclear ribonucleoprotein-associated proteins B and B' [Nanorana parkeri]	240	Nanorana parkeri	PREDICTED: small nuclear ribonucleoprotein-associated proteins B and B'
10940					XP_015258770.1	94.0	151	1.35e-89	Nr			XP_015258770.1 PREDICTED: small nuclear ribonucleoprotein-associated protein B' [Cyprinodon variegatus]	241	Cyprinodon variegatus	PREDICTED: small nuclear ribonucleoprotein-associated protein B'
10941					Q9TU66	93.8	146	1.4199999999999998e-89	Swiss-Prot	SNRPB	RSMB_MONDO	sp|Q9TU66|RSMB_MONDO Small nuclear ribonucleoprotein-associated protein B' OS=Monodelphis domestica OX=13616 GN=SNRPB PE=2 SV=1	240	Monodelphis domestica	Small nuclear ribonucleoprotein-associated protein B'
10942					NP_001001198.1	96.6	146	1.68e-89	Nr			NP_001001198.1 small nuclear ribonucleoprotein-associated proteins B and B' [Xenopus tropicalis]	237	Xenopus tropicalis	small nuclear ribonucleoprotein-associated proteins B and B'
10943					NP_001089822.1	94.0	151	2.15e-89	Nr			NP_001089822.1 small nuclear ribonucleoprotein polypeptides B and B1 L homeolog [Xenopus laevis]	234	Xenopus laevis	small nuclear ribonucleoprotein polypeptides B and B1 L homeolog
10944					XP_010879035.1	96.6	146	2.3799999999999997e-89	Nr			XP_010879035.1 small nuclear ribonucleoprotein-associated proteins B and B' [Esox lucius]	237	Esox lucius	small nuclear ribonucleoprotein-associated proteins B and B'
10945					XP_041747931.1	96.6	146	2.3799999999999997e-89	Nr			XP_041747931.1 small nuclear ribonucleoprotein-associated proteins B and B' [Coregonus clupeaformis]	237	Coregonus clupeaformis	small nuclear ribonucleoprotein-associated proteins B and B'
10946					XP_050930533.1	96.6	146	2.3799999999999997e-89	Nr			XP_050930533.1 small nuclear ribonucleoprotein-associated proteins B and B' isoform X2 [Lates calcarifer]	237	Lates calcarifer	small nuclear ribonucleoprotein-associated proteins B and B' isoform X2
10947					NP_001134522.1	96.6	146	2.3799999999999997e-89	Nr			NP_001134522.1 small nuclear ribonucleoprotein-associated proteins B and B' [Salmo salar]	237	Salmo salar	small nuclear ribonucleoprotein-associated proteins B and B'
10948					XP_033889016.1	96.6	146	2.3799999999999997e-89	Nr			XP_033889016.1 small nuclear ribonucleoprotein-associated protein B' [Acipenser ruthenus]	237	Acipenser ruthenus	small nuclear ribonucleoprotein-associated protein B'
10949					NXY50559.1	98.6	142	2.3799999999999997e-89	Nr			NXY50559.1 RSMB protein [Ceuthmochares aereus]	237	Ceuthmochares aereus	RSMB protein
10950					XP_034080883.1	96.6	146	2.4599999999999997e-89	Nr			XP_034080883.1 LOW QUALITY PROTEIN: small nuclear ribonucleoprotein-associated proteins B and B' [Gymnodraco acuticeps]	238	Gymnodraco acuticeps	LOW QUALITY PROTEIN: small nuclear ribonucleoprotein-associated proteins B and B'
10951					XP_037346968.1	96.6	146	2.4599999999999997e-89	Nr			XP_037346968.1 small nuclear ribonucleoprotein-associated proteins B and B' [Pungitius pungitius]	238	Pungitius pungitius	small nuclear ribonucleoprotein-associated proteins B and B'
10952					XP_029682766.1	96.6	146	2.4599999999999997e-89	Nr			XP_029682766.1 small nuclear ribonucleoprotein-associated proteins B and B' [Takifugu rubripes]	238	Takifugu rubripes	small nuclear ribonucleoprotein-associated proteins B and B'
10953					Q05856	67.8	152	8.38e-63	Swiss-Prot	SmB	RSMB_DROME	sp|Q05856|RSMB_DROME Small nuclear ribonucleoprotein-associated protein B OS=Drosophila melanogaster OX=7227 GN=SmB PE=1 SV=1	199	Drosophila melanogaster	Small nuclear ribonucleoprotein-associated protein B
10954					P91918	60.4	101	2.51e-38	Swiss-Prot	snr-2	RSMB_CAEEL	sp|P91918|RSMB_CAEEL Probable small nuclear ribonucleoprotein-associated protein B OS=Caenorhabditis elegans OX=6239 GN=snr-2 PE=3 SV=1	160	Caenorhabditis elegans	Probable small nuclear ribonucleoprotein-associated protein B
10955					Q55A45	53.3	120	1.8199999999999999e-34	Swiss-Prot	snrpb	RSMB_DICDI	sp|Q55A45|RSMB_DICDI Small nuclear ribonucleoprotein-associated protein B OS=Dictyostelium discoideum OX=44689 GN=snrpb PE=3 SV=1	274	Dictyostelium discoideum	Small nuclear ribonucleoprotein-associated protein B
10956					Q10163	50.4	131	1.9300000000000002e-29	Swiss-Prot	smb1	RSMB_SCHPO	sp|Q10163|RSMB_SCHPO Small nuclear ribonucleoprotein-associated protein B OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=smb1 PE=1 SV=1	147	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Small nuclear ribonucleoprotein-associated protein B
10957					KAJ1144439.1	83.3	54	1.6e-18	Nr			KAJ1144439.1 hypothetical protein NDU88_010738 [Pleurodeles waltl]	358	Pleurodeles waltl	hypothetical protein NDU88_010738
10958					A0A2G8KGR5	74.1	54	2.69e-18	TrEMBL	BSL78_15958	A0A2G8KGR5_STIJA	tr|A0A2G8KGR5|A0A2G8KGR5_STIJA Reverse transcriptase domain-containing protein OS=Stichopus japonicus OX=307972 GN=BSL78_15958 PE=4 SV=1	178	Stichopus japonicus	Reverse transcriptase domain-containing protein
10959					A0A7D9LNA0	47.6	103	3.63e-18	TrEMBL	PACLA_6A079420	A0A7D9LNA0_PARCT	tr|A0A7D9LNA0|A0A7D9LNA0_PARCT Retrovirus-related Pol poly from transposon OS=Paramuricea clavata OX=317549 GN=PACLA_6A079420 PE=4 SV=1	524	Paramuricea clavata	Retrovirus-related Pol poly from transposon
10960					PIK47188.1	74.1	54	6.9e-18	Nr			PIK47188.1 hypothetical protein BSL78_15958 [Apostichopus japonicus]	178	Apostichopus japonicus	hypothetical protein BSL78_15958
10961					KAJ1119863.1	81.5	54	7.6e-18	Nr			KAJ1119863.1 hypothetical protein NDU88_008048 [Pleurodeles waltl]	820	Pleurodeles waltl	hypothetical protein NDU88_008048
10962					KAJ1160079.1	81.5	54	7.61e-18	Nr			KAJ1160079.1 hypothetical protein NDU88_000581 [Pleurodeles waltl]	830	Pleurodeles waltl	hypothetical protein NDU88_000581
10963					CAB4036105.1	47.6	103	9.33e-18	Nr			CAB4036105.1 Retrovirus-related Pol poly from transposon [Paramuricea clavata]	524	Paramuricea clavata	Retrovirus-related Pol poly from transposon
10964					XP_034298959.1	77.8	54	5.06e-17	Nr			XP_034298959.1 uncharacterized protein K02A2.6-like [Crassostrea gigas]	1311	Crassostrea gigas	uncharacterized protein K02A2.6-like
10965					XP_034322680.1	77.8	54	5.07e-17	Nr			XP_034322680.1 uncharacterized protein K02A2.6-like [Crassostrea gigas]	1331	Crassostrea gigas	uncharacterized protein K02A2.6-like
10966					A0A7D9EEE0	73.7	57	5.41e-17	TrEMBL	PACLA_6A003697	A0A7D9EEE0_PARCT	tr|A0A7D9EEE0|A0A7D9EEE0_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A003697 PE=4 SV=1	131	Paramuricea clavata	Reverse transcriptase domain-containing protein
10967					XP_034315672.1	75.9	54	1.18e-16	Nr			XP_034315672.1 uncharacterized protein LOC117685403 [Crassostrea gigas]	581	Crassostrea gigas	uncharacterized protein LOC117685403
10968					XP_048735644.1	81.5	54	1.26e-16	Nr			XP_048735644.1 uncharacterized protein K02A2.6-like [Ostrea edulis]	995	Ostrea edulis	uncharacterized protein K02A2.6-like
10969					XP_051992411.1	81.1	53	1.27e-16	Nr			XP_051992411.1 uncharacterized protein K02A2.6-like [Xyrauchen texanus]	1066	Xyrauchen texanus	uncharacterized protein K02A2.6-like
10970					XP_048759241.1	81.5	54	1.28e-16	Nr			XP_048759241.1 uncharacterized protein K02A2.6-like [Ostrea edulis]	1193	Ostrea edulis	uncharacterized protein K02A2.6-like
10971					CAB4008391.1	73.7	57	1.39e-16	Nr			CAB4008391.1 Hypothetical predicted protein [Paramuricea clavata]	131	Paramuricea clavata	Hypothetical predicted protein
10972					A0A2G8K077	79.6	54	1.68e-16	TrEMBL	BSL78_21779	A0A2G8K077_STIJA	tr|A0A2G8K077|A0A2G8K077_STIJA Reverse transcriptase domain-containing protein OS=Stichopus japonicus OX=307972 GN=BSL78_21779 PE=4 SV=1	859	Stichopus japonicus	Reverse transcriptase domain-containing protein
10973					P40018	45.8	96	1.97e-16	Swiss-Prot	SMB1	RSMB_YEAST	sp|P40018|RSMB_YEAST Small nuclear ribonucleoprotein-associated protein B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMB1 PE=1 SV=1	196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Small nuclear ribonucleoprotein-associated protein B
10974					A0A8P4GAI3	79.6	54	3.09e-16	TrEMBL		A0A8P4GAI3_DICLA	tr|A0A8P4GAI3|A0A8P4GAI3_DICLA ribonuclease H OS=Dicentrarchus labrax OX=13489 PE=3 SV=1	785	Dicentrarchus labrax	ribonuclease H
10975					XP_034319592.1	75.9	54	3.23e-16	Nr			XP_034319592.1 uncharacterized protein K02A2.6-like [Crassostrea gigas]	1126	Crassostrea gigas	uncharacterized protein K02A2.6-like
10976					A0A6S7IM77	75.9	54	4.1e-16	TrEMBL	PACLA_6A062515	A0A6S7IM77_PARCT	tr|A0A6S7IM77|A0A6S7IM77_PARCT Reverse transcriptase domain-containing protein (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A062515 PE=4 SV=1	612	Paramuricea clavata	Reverse transcriptase domain-containing protein (Fragment)
10977					A0A7D9L667	74.1	54	4.15e-16	TrEMBL	PACLA_6A035030	A0A7D9L667_PARCT	tr|A0A7D9L667|A0A7D9L667_PARCT Reverse transcriptase domain-containing protein (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A035030 PE=4 SV=1	410	Paramuricea clavata	Reverse transcriptase domain-containing protein (Fragment)
10978					A0A6S7IEL9	75.9	54	4.2e-16	TrEMBL	PACLA_6A060281	A0A6S7IEL9_PARCT	tr|A0A6S7IEL9|A0A6S7IEL9_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A060281 PE=4 SV=1	747	Paramuricea clavata	Reverse transcriptase domain-containing protein
10979					KAJ1216097.1	79.6	54	4.24e-16	Nr			KAJ1216097.1 hypothetical protein NDU88_003703 [Pleurodeles waltl]	734	Pleurodeles waltl	hypothetical protein NDU88_003703
10980					PIK41369.1	79.6	54	4.31e-16	Nr			PIK41369.1 hypothetical protein BSL78_21779 [Apostichopus japonicus]	859	Apostichopus japonicus	hypothetical protein BSL78_21779
10981					A0A7D9LE22	75.9	54	4.37e-16	TrEMBL	PACLA_6A049797	A0A7D9LE22_PARCT	tr|A0A7D9LE22|A0A7D9LE22_PARCT Uncharacterized protein K02A2.6-like (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A049797 PE=4 SV=1	1228	Paramuricea clavata	Uncharacterized protein K02A2.6-like (Fragment)
10982					KAJ1093273.1	74.1	54	4.58e-16	Nr			KAJ1093273.1 hypothetical protein NDU88_006378, partial [Pleurodeles waltl]	215	Pleurodeles waltl	hypothetical protein NDU88_006378, partial
10983					A0A6S7JUS7	74.1	54	5.75e-16	TrEMBL	PACLA_6A068489	A0A6S7JUS7_PARCT	tr|A0A6S7JUS7|A0A6S7JUS7_PARCT RNA-directed DNA polymerase OS=Paramuricea clavata OX=317549 GN=PACLA_6A068489 PE=4 SV=1	784	Paramuricea clavata	RNA-directed DNA polymerase
10984					A0A7D9L261	74.1	54	5.99e-16	TrEMBL	PACLA_6A045806	A0A7D9L261_PARCT	tr|A0A7D9L261|A0A7D9L261_PARCT Uncharacterized protein K02A2.6-like OS=Paramuricea clavata OX=317549 GN=PACLA_6A045806 PE=4 SV=1	1339	Paramuricea clavata	Uncharacterized protein K02A2.6-like
10985					KAJ1109821.1	75.9	54	6.21e-16	Nr			KAJ1109821.1 hypothetical protein NDU88_007179 [Pleurodeles waltl]	252	Pleurodeles waltl	hypothetical protein NDU88_007179
10986					XP_041372765.1	68.4	57	7.32e-16	Nr			XP_041372765.1 uncharacterized protein K02A2.6-like [Gigantopelta aegis]	222	Gigantopelta aegis	uncharacterized protein K02A2.6-like
10987					A0A7D9JEU2	60.9	64	7.99e-16	TrEMBL	PACLA_6A058356	A0A7D9JEU2_PARCT	tr|A0A7D9JEU2|A0A7D9JEU2_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A058356 PE=4 SV=1	142	Paramuricea clavata	Reverse transcriptase domain-containing protein
10988					XP_053380302.1	66.7	63	8.26e-16	Nr			XP_053380302.1 uncharacterized protein K02A2.6-like [Mercenaria mercenaria]	1311	Mercenaria mercenaria	uncharacterized protein K02A2.6-like
10989					XP_053381952.1	66.7	63	8.26e-16	Nr			XP_053381952.1 uncharacterized protein K02A2.6-like [Mercenaria mercenaria]	1311	Mercenaria mercenaria	uncharacterized protein K02A2.6-like
10990					XP_053376414.1	66.7	63	8.26e-16	Nr			XP_053376414.1 uncharacterized protein K02A2.6-like [Mercenaria mercenaria]	1311	Mercenaria mercenaria	uncharacterized protein K02A2.6-like
10991					A0A8B6GZC4	72.2	54	9.11e-16	TrEMBL	MGAL_10B070509	A0A8B6GZC4_MYTGA	tr|A0A8B6GZC4|A0A8B6GZC4_MYTGA Reverse transcriptase domain-containing protein OS=Mytilus galloprovincialis OX=29158 GN=MGAL_10B070509 PE=4 SV=1	251	Mytilus galloprovincialis	Reverse transcriptase domain-containing protein
10992					A0A7D9DFM5	62.5	64	9.7e-16	TrEMBL	PACLA_6A034759	A0A7D9DFM5_PARCT	tr|A0A7D9DFM5|A0A7D9DFM5_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A034759 PE=4 SV=1	165	Paramuricea clavata	Reverse transcriptase domain-containing protein
10993					CAB4018786.1	75.9	54	1.05e-15	Nr			CAB4018786.1 Hypothetical predicted protein, partial [Paramuricea clavata]	612	Paramuricea clavata	Hypothetical predicted protein, partial
10994					CAB4026689.1	74.1	54	1.07e-15	Nr			CAB4026689.1 Hypothetical predicted protein, partial [Paramuricea clavata]	410	Paramuricea clavata	Hypothetical predicted protein, partial
10995					CAB4014610.1	75.9	54	1.08e-15	Nr			CAB4014610.1 Hypothetical predicted protein [Paramuricea clavata]	747	Paramuricea clavata	Hypothetical predicted protein
10996					CAB4029067.1	75.9	54	1.12e-15	Nr			CAB4029067.1 uncharacterized protein K02A2.6-like, partial [Paramuricea clavata]	1228	Paramuricea clavata	uncharacterized protein K02A2.6-like, partial
10997					A0A6S7JJX1	70.2	57	1.16e-15	TrEMBL	PACLA_6A009243	A0A6S7JJX1_PARCT	tr|A0A6S7JJX1|A0A6S7JJX1_PARCT Reverse transcriptase domain-containing protein (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A009243 PE=4 SV=1	189	Paramuricea clavata	Reverse transcriptase domain-containing protein (Fragment)
10998					A0A6S7KF65	53.8	80	1.29e-15	TrEMBL	PACLA_6A084642	A0A6S7KF65_PARCT	tr|A0A6S7KF65|A0A6S7KF65_PARCT Reverse transcriptase domain-containing protein (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A084642 PE=4 SV=1	231	Paramuricea clavata	Reverse transcriptase domain-containing protein (Fragment)
10999					A0A3Q3ECH9	75.9	54	1.32e-15	TrEMBL		A0A3Q3ECH9_9LABR	tr|A0A3Q3ECH9|A0A3Q3ECH9_9LABR ribonuclease H OS=Labrus bergylta OX=56723 PE=3 SV=1	386	Labrus bergylta	ribonuclease H
11000					A0A7M7SVI6	72.7	55	1.49e-15	TrEMBL		A0A7M7SVI6_STRPU	tr|A0A7M7SVI6|A0A7M7SVI6_STRPU RNA-directed DNA polymerase OS=Strongylocentrotus purpuratus OX=7668 PE=4 SV=1	966	Strongylocentrotus purpuratus	RNA-directed DNA polymerase
11001					A0A6S7LGN8	62.5	64	1.73e-15	TrEMBL	PACLA_6A025596	A0A6S7LGN8_PARCT	tr|A0A6S7LGN8|A0A6S7LGN8_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A025596 PE=4 SV=1	192	Paramuricea clavata	Reverse transcriptase domain-containing protein
11002					A0A4U5TUN4	75.9	54	2.03e-15	TrEMBL	D9C73_028119	A0A4U5TUN4_COLLU	tr|A0A4U5TUN4|A0A4U5TUN4_COLLU ribonuclease H OS=Collichthys lucidus OX=240159 GN=D9C73_028119 PE=3 SV=1	994	Collichthys lucidus	ribonuclease H
11003					A0A6J8F1S2	72.2	54	2.21e-15	TrEMBL	MCOR_57441	A0A6J8F1S2_MYTCO	tr|A0A6J8F1S2|A0A6J8F1S2_MYTCO RT_RNaseH_2 domain-containing protein OS=Mytilus coruscus OX=42192 GN=MCOR_57441 PE=4 SV=1	434	Mytilus coruscus	RT_RNaseH_2 domain-containing protein
11004					A0A8B6CM66	69.0	58	2.34e-15	TrEMBL	MGAL_10B023489	A0A8B6CM66_MYTGA	tr|A0A8B6CM66|A0A8B6CM66_MYTGA Reverse transcriptase domain-containing protein OS=Mytilus galloprovincialis OX=29158 GN=MGAL_10B023489 PE=4 SV=1	329	Mytilus galloprovincialis	Reverse transcriptase domain-containing protein
11005					A0A6J8EYP8	72.2	54	2.71e-15	TrEMBL	MCOR_57441	A0A6J8EYP8_MYTCO	tr|A0A6J8EYP8|A0A6J8EYP8_MYTCO RT_RNaseH_2 domain-containing protein OS=Mytilus coruscus OX=42192 GN=MCOR_57441 PE=4 SV=1	759	Mytilus coruscus	RT_RNaseH_2 domain-containing protein
11006					A0A3Q1EQC1	74.1	54	2.93e-15	TrEMBL		A0A3Q1EQC1_9TELE	tr|A0A3Q1EQC1|A0A3Q1EQC1_9TELE ribonuclease H OS=Acanthochromis polyacanthus OX=80966 PE=3 SV=1	358	Acanthochromis polyacanthus	ribonuclease H
11007					A0A6S7JH30	71.9	57	3.01e-15	TrEMBL	PACLA_6A080171	A0A6S7JH30_PARCT	tr|A0A6S7JH30|A0A6S7JH30_PARCT Reverse transcriptase domain-containing protein OS=Paramuricea clavata OX=317549 GN=PACLA_6A080171 PE=4 SV=1	290	Paramuricea clavata	Reverse transcriptase domain-containing protein
11008					KAJ1144440.1	76.5	34	1.98e-05	Nr			KAJ1144440.1 hypothetical protein NDU88_010739 [Pleurodeles waltl]	228	Pleurodeles waltl	hypothetical protein NDU88_010739
11009					Q6GQ67	39.5	76	2.06e-05	Swiss-Prot	naa38-a	LMD1A_XENLA	sp|Q6GQ67|LMD1A_XENLA N-alpha-acetyltransferase 38-A, NatC auxiliary subunit OS=Xenopus laevis OX=8355 GN=naa38-a PE=3 SV=1	113	Xenopus laevis	N-alpha-acetyltransferase 38-A, NatC auxiliary subunit
11010					A4IGZ4	39.5	76	2.06e-05	Swiss-Prot	naa38	LSMD1_XENTR	sp|A4IGZ4|LSMD1_XENTR N-alpha-acetyltransferase 38, NatC auxiliary subunit OS=Xenopus tropicalis OX=8364 GN=naa38 PE=3 SV=2	113	Xenopus tropicalis	N-alpha-acetyltransferase 38, NatC auxiliary subunit
11011					P47017	33.3	75	2.58e-05	Swiss-Prot	LSM1	LSM1_YEAST	sp|P47017|LSM1_YEAST Sm-like protein LSm1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LSM1 PE=1 SV=1	172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Sm-like protein LSm1
11012					P10394	48.0	50	4.28e-05	Swiss-Prot	POL	POL4_DROME	sp|P10394|POL4_DROME Retrovirus-related Pol polyprotein from transposon 412 OS=Drosophila melanogaster OX=7227 GN=POL PE=4 SV=1	1237	Drosophila melanogaster	Retrovirus-related Pol polyprotein from transposon 412
11013					KAJ1156950.1	82.1	28	4.63e-05	Nr			KAJ1156950.1 hypothetical protein NDU88_009666, partial [Pleurodeles waltl]	96	Pleurodeles waltl	hypothetical protein NDU88_009666, partial
11014					A2BIG9	37.3	67	5.09e-05	Swiss-Prot	naa38	LSMD1_DANRE	sp|A2BIG9|LSMD1_DANRE N-alpha-acetyltransferase 38, NatC auxiliary subunit OS=Danio rerio OX=7955 GN=naa38 PE=3 SV=1	109	Danio rerio	N-alpha-acetyltransferase 38, NatC auxiliary subunit
11015					Q6NU60	36.8	76	5.28e-05	Swiss-Prot	naa38-b	LMD1B_XENLA	sp|Q6NU60|LMD1B_XENLA N-alpha-acetyltransferase 38-B, NatC auxiliary subunit OS=Xenopus laevis OX=8355 GN=naa38-b PE=3 SV=1	111	Xenopus laevis	N-alpha-acetyltransferase 38-B, NatC auxiliary subunit
11016					O26745	41.4	58	5.56e-05	Swiss-Prot	MTH_649	RUXX_METTH	sp|O26745|RUXX_METTH Putative snRNP Sm-like protein OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=MTH_649 PE=1 SV=1	81	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H)	Putative snRNP Sm-like protein
11017					KAJ1158054.1	79.3	29	0.000123	Nr			KAJ1158054.1 hypothetical protein NDU88_010750 [Pleurodeles waltl]	392	Pleurodeles waltl	hypothetical protein NDU88_010750
11018					XP_028413856.1	46.3	67	0.000131	Nr			XP_028413856.1 uncharacterized protein K02A2.6-like [Dendronephthya gigantea]	471	Dendronephthya gigantea	uncharacterized protein K02A2.6-like
11019					XP_028408492.1	46.3	67	0.000157	Nr			XP_028408492.1 uncharacterized protein K02A2.6-like [Dendronephthya gigantea]	1348	Dendronephthya gigantea	uncharacterized protein K02A2.6-like
11020					A0A8D8SUP3	41.4	58	0.0002	TrEMBL		A0A8D8SUP3_9HEMI	tr|A0A8D8SUP3|A0A8D8SUP3_9HEMI RNA-directed DNA polymerase OS=Cacopsylla melanoneura OX=428564 PE=4 SV=1	116	Cacopsylla melanoneura	RNA-directed DNA polymerase
11021					XP_002740782.1	48.3	60	0.000389	Nr			XP_002740782.1 PREDICTED: uncharacterized protein K02A2.6-like [Saccoglossus kowalevskii]	1320	Saccoglossus kowalevskii	PREDICTED: uncharacterized protein K02A2.6-like
11022					A0A1A8ILI9	66.7	30	0.00039	TrEMBL	BX640584.1	A0A1A8ILI9_NOTKU	tr|A0A1A8ILI9|A0A1A8ILI9_NOTKU Integrase_H2C2 domain-containing protein (Fragment) OS=Nothobranchius kuhntae OX=321403 GN=BX640584.1 PE=4 SV=1	71	Nothobranchius kuhntae	Integrase_H2C2 domain-containing protein (Fragment)
11023					A0A814J5P7	64.7	34	0.000675	TrEMBL	OXX778_LOCUS18000	A0A814J5P7_9BILA	tr|A0A814J5P7|A0A814J5P7_9BILA Reverse transcriptase domain-containing protein (Fragment) OS=Brachionus calyciflorus OX=104777 GN=OXX778_LOCUS18000 PE=4 SV=1	1140	Brachionus calyciflorus	Reverse transcriptase domain-containing protein (Fragment)
11024					Q09575	37.7	61	0.000684	Swiss-Prot	K02A2.6	YRD6_CAEEL	sp|Q09575|YRD6_CAEEL Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans OX=6239 GN=K02A2.6 PE=4 SV=1	1268	Caenorhabditis elegans	Uncharacterized protein K02A2.6
11025					KAJ1096574.1	50.0	60	0.000746	Nr			KAJ1096574.1 hypothetical protein NDU88_001709 [Pleurodeles waltl]	87	Pleurodeles waltl	hypothetical protein NDU88_001709
11026					A0A6S7ITF5	40.8	76	0.000839	TrEMBL	PACLA_6A032967	A0A6S7ITF5_PARCT	tr|A0A6S7ITF5|A0A6S7ITF5_PARCT Transposon Ty3-I Gag-Pol poly (Fragment) OS=Paramuricea clavata OX=317549 GN=PACLA_6A032967 PE=4 SV=1	645	Paramuricea clavata	Transposon Ty3-I Gag-Pol poly (Fragment)
11027					A0A7D9JUA0	40.8	76	0.000877	TrEMBL	PACLA_6A012901	A0A7D9JUA0_PARCT	tr|A0A7D9JUA0|A0A7D9JUA0_PARCT PREDICTED: uncharacterized protein K02A2.6-like OS=Paramuricea clavata OX=317549 GN=PACLA_6A012901 PE=4 SV=1	831	Paramuricea clavata	PREDICTED: uncharacterized protein K02A2.6-like
