	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
7220					A0A3Q1C1U7	35.8	165	9.96e-22	TrEMBL		A0A3Q1C1U7_AMPOC	tr|A0A3Q1C1U7|A0A3Q1C1U7_AMPOC Transposase_22 domain-containing protein OS=Amphiprion ocellaris OX=80972 PE=4 SV=1	238	Amphiprion ocellaris	Transposase_22 domain-containing protein
7221					A0A6G0IWV2	37.4	155	1.88e-21	TrEMBL	D5F01_LYC04748	A0A6G0IWV2_LARCR	tr|A0A6G0IWV2|A0A6G0IWV2_LARCR Transposase_22 domain-containing protein OS=Larimichthys crocea OX=215358 GN=D5F01_LYC04748 PE=4 SV=1	289	Larimichthys crocea	Transposase_22 domain-containing protein
7222					A0A671WIR9	39.4	165	2.3100000000000003e-21	TrEMBL		A0A671WIR9_SPAAU	tr|A0A671WIR9|A0A671WIR9_SPAAU LINE-1 type transposase domain-containing protein 1 OS=Sparus aurata OX=8175 PE=4 SV=1	246	Sparus aurata	LINE-1 type transposase domain-containing protein 1
7223					KAE8295999.1	37.4	155	4.82e-21	Nr			KAE8295999.1 hypothetical protein D5F01_LYC04748 [Larimichthys crocea]	289	Larimichthys crocea	hypothetical protein D5F01_LYC04748
7224					XP_044151345.1	37.0	154	5.52e-21	Nr			XP_044151345.1 histamine H3 receptor-like [Bufo gargarizans]	599	Bufo gargarizans	histamine H3 receptor-like
7225					A0A3P8STI7	37.1	143	1.85e-20	TrEMBL		A0A3P8STI7_AMPPE	tr|A0A3P8STI7|A0A3P8STI7_AMPPE LINE-1 type transposase domain-containing protein 1 OS=Amphiprion percula OX=161767 PE=4 SV=1	286	Amphiprion percula	LINE-1 type transposase domain-containing protein 1
7226					O00370	34.2	161	1.89e-20	Swiss-Prot		LORF2_HUMAN	sp|O00370|LORF2_HUMAN LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens OX=9606 PE=1 SV=1	1275	Homo sapiens	LINE-1 retrotransposable element ORF2 protein
7227					A0A671ULI6	39.2	153	2.04e-20	TrEMBL		A0A671ULI6_SPAAU	tr|A0A671ULI6|A0A671ULI6_SPAAU LINE-1 type transposase domain-containing protein 1 OS=Sparus aurata OX=8175 PE=4 SV=1	292	Sparus aurata	LINE-1 type transposase domain-containing protein 1
7228					KAI4803776.1	40.1	147	4.07e-20	Nr			KAI4803776.1 hypothetical protein KUCAC02_025424 [Chaenocephalus aceratus]	297	Chaenocephalus aceratus	hypothetical protein KUCAC02_025424
7229					A0A6P7X0Q3	38.6	153	4.34e-20	TrEMBL	LOC115460442	A0A6P7X0Q3_9AMPH	tr|A0A6P7X0Q3|A0A6P7X0Q3_9AMPH NFX1-type zinc finger-containing protein 1-like OS=Microcaecilia unicolor OX=1415580 GN=LOC115460442 PE=4 SV=1	2650	Microcaecilia unicolor	NFX1-type zinc finger-containing protein 1-like
7230					A0A6G0IR90	36.1	155	5.63e-20	TrEMBL	D5F01_LYC06708	A0A6G0IR90_LARCR	tr|A0A6G0IR90|A0A6G0IR90_LARCR LINE-1 type transposase domain-containing protein 1 ES cell-associated protein 11 OS=Larimichthys crocea OX=215358 GN=D5F01_LYC06708 PE=4 SV=1	293	Larimichthys crocea	LINE-1 type transposase domain-containing protein 1 ES cell-associated protein 11
7231					A0A667ZPJ3	37.5	152	6.84e-20	TrEMBL		A0A667ZPJ3_9TELE	tr|A0A667ZPJ3|A0A667ZPJ3_9TELE Transposase_22 domain-containing protein OS=Myripristis murdjan OX=586833 PE=4 SV=1	265	Myripristis murdjan	Transposase_22 domain-containing protein
7232					KAI4827679.1	40.1	147	6.91e-20	Nr			KAI4827679.1 hypothetical protein KUCAC02_031058 [Chaenocephalus aceratus]	269	Chaenocephalus aceratus	hypothetical protein KUCAC02_031058
7233					KAI4792447.1	40.1	147	7.19e-20	Nr			KAI4792447.1 hypothetical protein KUCAC02_033380 [Chaenocephalus aceratus]	253	Chaenocephalus aceratus	hypothetical protein KUCAC02_033380
7234					A0A3B4EZV4	36.0	150	7.47e-20	TrEMBL		A0A3B4EZV4_9CICH	tr|A0A3B4EZV4|A0A3B4EZV4_9CICH Transposase_22 domain-containing protein OS=Pundamilia nyererei OX=303518 PE=4 SV=1	270	Pundamilia nyererei	Transposase_22 domain-containing protein
7235					A0A6P8QRS5	33.8	148	7.75e-20	TrEMBL	LOC117360313	A0A6P8QRS5_GEOSA	tr|A0A6P8QRS5|A0A6P8QRS5_GEOSA uncharacterized protein LOC117360313 OS=Geotrypetes seraphini OX=260995 GN=LOC117360313 PE=4 SV=1	1573	Geotrypetes seraphini	uncharacterized protein LOC117360313
7236					XP_030046073.1	38.6	153	1.11e-19	Nr			XP_030046073.1 NFX1-type zinc finger-containing protein 1-like [Microcaecilia unicolor]	2650	Microcaecilia unicolor	NFX1-type zinc finger-containing protein 1-like
7237					KAE8293772.1	36.1	155	1.45e-19	Nr			KAE8293772.1 LINE-1 type transposase domain-containing protein 1 ES cell-associated protein 11 [Larimichthys crocea]	293	Larimichthys crocea	LINE-1 type transposase domain-containing protein 1 ES cell-associated protein 11
7238					XP_033799899.1	33.8	148	1.99e-19	Nr			XP_033799899.1 uncharacterized protein LOC117360313 [Geotrypetes seraphini]	1573	Geotrypetes seraphini	uncharacterized protein LOC117360313
7239					KAI4829097.1	39.5	147	2.21e-19	Nr			KAI4829097.1 hypothetical protein KUCAC02_023159 [Chaenocephalus aceratus]	299	Chaenocephalus aceratus	hypothetical protein KUCAC02_023159
7240					A0A3B1JM17	35.8	151	2.81e-19	TrEMBL		A0A3B1JM17_ASTMX	tr|A0A3B1JM17|A0A3B1JM17_ASTMX Transposase_22 domain-containing protein OS=Astyanax mexicanus OX=7994 PE=4 SV=1	233	Astyanax mexicanus	Transposase_22 domain-containing protein
7241					A0A6P7WPH6	35.6	149	3.55e-19	TrEMBL	LOC115459407	A0A6P7WPH6_9AMPH	tr|A0A6P7WPH6|A0A6P7WPH6_9AMPH obscurin-like protein 1 OS=Microcaecilia unicolor OX=1415580 GN=LOC115459407 PE=4 SV=1	1342	Microcaecilia unicolor	obscurin-like protein 1
7242					KAI4806100.1	38.4	146	3.68e-19	Nr			KAI4806100.1 hypothetical protein KUCAC02_010684 [Chaenocephalus aceratus]	269	Chaenocephalus aceratus	hypothetical protein KUCAC02_010684
7243					A0A6G0IJP9	32.2	171	5.34e-19	TrEMBL	D5F01_LYC08911	A0A6G0IJP9_LARCR	tr|A0A6G0IJP9|A0A6G0IJP9_LARCR LINE-1 type transposase domain-containing protein 1 OS=Larimichthys crocea OX=215358 GN=D5F01_LYC08911 PE=4 SV=1	249	Larimichthys crocea	LINE-1 type transposase domain-containing protein 1
7244					A0A3B3DZ89	35.7	154	5.95e-19	TrEMBL		A0A3B3DZ89_ORYME	tr|A0A3B3DZ89|A0A3B3DZ89_ORYME Transposase_22 domain-containing protein OS=Oryzias melastigma OX=30732 PE=4 SV=1	237	Oryzias melastigma	Transposase_22 domain-containing protein
7245					A0A6P7WWI2	36.2	152	6.21e-19	TrEMBL	LOC115458977	A0A6P7WWI2_9AMPH	tr|A0A6P7WWI2|A0A6P7WWI2_9AMPH latent-transforming growth factor beta-binding protein 4-like OS=Microcaecilia unicolor OX=1415580 GN=LOC115458977 PE=4 SV=1	881	Microcaecilia unicolor	latent-transforming growth factor beta-binding protein 4-like
7246					OCT80128.1	43.7	126	8.61e-19	Nr			OCT80128.1 hypothetical protein XELAEV_18026937mg [Xenopus laevis]	209	Xenopus laevis	hypothetical protein XELAEV_18026937mg
7247					XP_030045097.1	35.6	149	9.12e-19	Nr			XP_030045097.1 obscurin-like protein 1, partial [Microcaecilia unicolor]	1342	Microcaecilia unicolor	obscurin-like protein 1, partial
7248					KAI2645847.1	37.7	151	1.06e-18	Nr			KAI2645847.1 LINE-1 type transposase domain-containing protein 1 [Labeo rohita]	272	Labeo rohita	LINE-1 type transposase domain-containing protein 1
7249					A0A3P9D9C9	35.3	150	1.1e-18	TrEMBL		A0A3P9D9C9_9CICH	tr|A0A3P9D9C9|A0A3P9D9C9_9CICH Transposase_22 domain-containing protein OS=Maylandia zebra OX=106582 PE=4 SV=1	271	Maylandia zebra	Transposase_22 domain-containing protein
7250					KAE8291557.1	32.2	171	1.37e-18	Nr			KAE8291557.1 hypothetical protein D5F01_LYC08911 [Larimichthys crocea]	249	Larimichthys crocea	hypothetical protein D5F01_LYC08911
7251					XP_030044698.1	36.2	152	1.59e-18	Nr			XP_030044698.1 latent-transforming growth factor beta-binding protein 4-like [Microcaecilia unicolor]	881	Microcaecilia unicolor	latent-transforming growth factor beta-binding protein 4-like
7252					KAJ1217248.1	34.9	149	1.64e-18	Nr			KAJ1217248.1 hypothetical protein NDU88_004843 [Pleurodeles waltl]	324	Pleurodeles waltl	hypothetical protein NDU88_004843
7253					KAI7800009.1	33.6	152	2.12e-18	Nr			KAI7800009.1 putative LINE-1 type transposase domain-containing protein 1-like [Triplophysa rosa]	295	Triplophysa rosa	putative LINE-1 type transposase domain-containing protein 1-like
7254					KAI4788217.1	39.5	147	3.52e-18	Nr			KAI4788217.1 hypothetical protein KUCAC02_035995 [Chaenocephalus aceratus]	181	Chaenocephalus aceratus	hypothetical protein KUCAC02_035995
7255					XP_033810110.1	35.9	153	4e-18	Nr			XP_033810110.1 uncharacterized protein LOC117364707 [Geotrypetes seraphini]	272	Geotrypetes seraphini	uncharacterized protein LOC117364707
7256					KAE8281769.1	33.1	163	4.41e-18	Nr			KAE8281769.1 hypothetical protein D5F01_LYC19152 [Larimichthys crocea]	278	Larimichthys crocea	hypothetical protein D5F01_LYC19152
7257					P11369	32.6	181	4.76e-18	Swiss-Prot	Pol	LORF2_MOUSE	sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2	1281	Mus musculus	LINE-1 retrotransposable element ORF2 protein
7258					P14381	31.7	186	1.39e-16	Swiss-Prot		YTX2_XENLA	sp|P14381|YTX2_XENLA Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1	1308	Xenopus laevis	Transposon TX1 uncharacterized 149 kDa protein
7259					P08548	29.4	160	7.27e-13	Swiss-Prot		LIN1_NYCCO	sp|P08548|LIN1_NYCCO LINE-1 reverse transcriptase homolog OS=Nycticebus coucang OX=9470 PE=4 SV=1	1260	Nycticebus coucang	LINE-1 reverse transcriptase homolog
7260					Q9UN81	33.6	146	2.94e-08	Swiss-Prot	L1RE1	LORF1_HUMAN	sp|Q9UN81|LORF1_HUMAN LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1	338	Homo sapiens	LINE-1 retrotransposable element ORF1 protein
7261					Q5T7N2	26.1	134	4.43e-07	Swiss-Prot	L1TD1	LITD1_HUMAN	sp|Q5T7N2|LITD1_HUMAN LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1	865	Homo sapiens	LINE-1 type transposase domain-containing protein 1
7262					Q587J6	28.1	146	1.07e-06	Swiss-Prot	L1td1	LITD1_MOUSE	sp|Q587J6|LITD1_MOUSE LINE-1 type transposase domain-containing protein 1 OS=Mus musculus OX=10090 GN=L1td1 PE=2 SV=1	782	Mus musculus	LINE-1 type transposase domain-containing protein 1
7263					P11260	25.1	175	3.15e-05	Swiss-Prot	Lire1	LORF1_MOUSE	sp|P11260|LORF1_MOUSE LINE-1 retrotransposable element ORF1 protein OS=Mus musculus OX=10090 GN=Lire1 PE=1 SV=2	357	Mus musculus	LINE-1 retrotransposable element ORF1 protein
7264					P37454	29.6	115	4.47e-05	Swiss-Prot	exoA	EXOA_BACSU	sp|P37454|EXOA_BACSU Exodeoxyribonuclease OS=Bacillus subtilis (strain 168) OX=224308 GN=exoA PE=1 SV=1	252	Bacillus subtilis (strain 168)	Exodeoxyribonuclease
7265					P45951	30.6	121	0.000118	Swiss-Prot	ARP	ARP_ARATH	sp|P45951|ARP_ARATH DNA-(apurinic or apyrimidinic site) endonuclease, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ARP PE=1 SV=2	536	Arabidopsis thaliana	DNA-(apurinic or apyrimidinic site) endonuclease, chloroplastic
7266					A0MTA1	29.0	162	0.000778	Swiss-Prot	apex1	APEX1_DANRE	sp|A0MTA1|APEX1_DANRE DNA-(apurinic or apyrimidinic site) endonuclease OS=Danio rerio OX=7955 GN=apex1 PE=1 SV=1	310	Danio rerio	DNA-(apurinic or apyrimidinic site) endonuclease
7267	Cluster-75151.49582_NODE_77759_length_2122_cov_43.786861_g27994_i0	bombina_pachypus_corset_DEGS_blastp	6.34463641850874	0.0256768002581144	XP_053320105.1	34.4	93	3.8e-05	Nr			XP_053320105.1 uncharacterized protein LOC128491807 [Spea bombifrons]	246	Spea bombifrons	uncharacterized protein LOC128491807
7268					XP_053320391.1	34.4	93	5.08e-05	Nr			XP_053320391.1 uncharacterized protein LOC128492006 [Spea bombifrons]	349	Spea bombifrons	uncharacterized protein LOC128492006
7269					XP_053320194.1	30.4	112	0.000836	Nr			XP_053320194.1 uncharacterized protein LOC128491860 [Spea bombifrons]	359	Spea bombifrons	uncharacterized protein LOC128491860
7270	Cluster-75151.53145_NODE_32727_length_3841_cov_235.909910_g0_i78	bombina_pachypus_corset_DEGS_blastp	-8.68110201439063	0.0249105624301314	XP_040211055.1	85.1	483	5.52e-262	Nr			XP_040211055.1 microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X3 [Rana temporaria]	1948	Rana temporaria	microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X3
7271					XP_040211054.1	85.1	483	6.02e-262	Nr			XP_040211054.1 microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X2 [Rana temporaria]	1952	Rana temporaria	microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X2
7272					XP_040211053.1	85.1	483	7.87e-261	Nr			XP_040211053.1 microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X1 [Rana temporaria]	2074	Rana temporaria	microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X1
7273					XP_053323911.1	83.7	484	1.19e-256	Nr			XP_053323911.1 microtubule-actin cross-linking factor 1, isoforms 6/7-like [Spea bombifrons]	1680	Spea bombifrons	microtubule-actin cross-linking factor 1, isoforms 6/7-like
7274					KAE8599990.1	83.1	484	2.8399999999999996e-256	Nr			KAE8599990.1 hypothetical protein XENTR_v10017421 [Xenopus tropicalis]	1745	Xenopus tropicalis	hypothetical protein XENTR_v10017421
7275					A0A8J1JRF6	83.1	484	7.169999999999999e-256	TrEMBL	LOC100495047	A0A8J1JRF6_XENTR	tr|A0A8J1JRF6|A0A8J1JRF6_XENTR microtubule-actin cross-linking factor 1 OS=Xenopus tropicalis OX=8364 GN=LOC100495047 PE=4 SV=1	1826	Xenopus tropicalis	microtubule-actin cross-linking factor 1
7276					XP_044130892.1	79.1	483	1.49e-255	Nr			XP_044130892.1 microtubule-actin cross-linking factor 1-like, partial [Bufo gargarizans]	811	Bufo gargarizans	microtubule-actin cross-linking factor 1-like, partial
7277					XP_031760478.1	83.1	484	1.84e-255	Nr			XP_031760478.1 microtubule-actin cross-linking factor 1 [Xenopus tropicalis]	1826	Xenopus tropicalis	microtubule-actin cross-linking factor 1
7278					OCT77336.1	82.2	484	5.49e-255	Nr			OCT77336.1 hypothetical protein XELAEV_18032537mg [Xenopus laevis]	2086	Xenopus laevis	hypothetical protein XELAEV_18032537mg
7279					A0A8J6EKT4	80.5	482	2.43e-253	TrEMBL	GDO78_016616	A0A8J6EKT4_ELECQ	tr|A0A8J6EKT4|A0A8J6EKT4_ELECQ KASH domain-containing protein OS=Eleutherodactylus coqui OX=57060 GN=GDO78_016616 PE=4 SV=1	1723	Eleutherodactylus coqui	KASH domain-containing protein
7280					KAG9470845.1	80.5	482	6.23e-253	Nr			KAG9470845.1 hypothetical protein GDO78_016616 [Eleutherodactylus coqui]	1723	Eleutherodactylus coqui	hypothetical protein GDO78_016616
7281					A0A218UCP0	73.3	469	2.71e-232	TrEMBL	MACF1_0	A0A218UCP0_9PASE	tr|A0A218UCP0|A0A218UCP0_9PASE Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Lonchura striata domestica OX=299123 GN=MACF1_0 PE=4 SV=1	490	Lonchura striata domestica	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5
7282					OWK51378.1	73.3	469	6.97e-232	Nr			OWK51378.1 Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 [Lonchura striata domestica]	490	Lonchura striata domestica	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5
7283					XP_029442321.1	75.1	465	2.6e-231	Nr			XP_029442321.1 microtubule-actin cross-linking factor 1-like [Rhinatrema bivittatum]	987	Rhinatrema bivittatum	microtubule-actin cross-linking factor 1-like
7284					XP_029443080.1	74.8	465	4.28e-230	Nr			XP_029443080.1 microtubule-actin cross-linking factor 1-like [Rhinatrema bivittatum]	1045	Rhinatrema bivittatum	microtubule-actin cross-linking factor 1-like
7285					A0A1V4KMU3	72.4	468	3.75e-229	TrEMBL	AV530_009703	A0A1V4KMU3_PATFA	tr|A0A1V4KMU3|A0A1V4KMU3_PATFA Microtubule-actin cross-linking factor 1 OS=Patagioenas fasciata monilis OX=372326 GN=AV530_009703 PE=4 SV=1	555	Patagioenas fasciata monilis	Microtubule-actin cross-linking factor 1
7286					OPJ85735.1	72.4	468	9.62e-229	Nr			OPJ85735.1 hypothetical protein AV530_009703 [Patagioenas fasciata monilis]	555	Patagioenas fasciata monilis	hypothetical protein AV530_009703
7287					KAJ1194987.1	75.6	472	5.2400000000000005e-226	Nr			KAJ1194987.1 hypothetical protein NDU88_004271 [Pleurodeles waltl]	2105	Pleurodeles waltl	hypothetical protein NDU88_004271
7288					A0A6P7WXS2	74.2	469	7.479999999999999e-225	TrEMBL	LOC115460298	A0A6P7WXS2_9AMPH	tr|A0A6P7WXS2|A0A6P7WXS2_9AMPH microtubule-actin cross-linking factor 1-like OS=Microcaecilia unicolor OX=1415580 GN=LOC115460298 PE=4 SV=1	1159	Microcaecilia unicolor	microtubule-actin cross-linking factor 1-like
7289					XP_030045956.1	74.2	469	1.92e-224	Nr			XP_030045956.1 microtubule-actin cross-linking factor 1-like [Microcaecilia unicolor]	1159	Microcaecilia unicolor	microtubule-actin cross-linking factor 1-like
7290					XP_047908483.1	74.0	469	2e-219	Nr			XP_047908483.1 microtubule-actin cross-linking factor 1-like [Anser cygnoides]	1863	Anser cygnoides	microtubule-actin cross-linking factor 1-like
7291					XP_038031530.1	73.8	469	2.85e-219	Nr			XP_038031530.1 microtubule-actin cross-linking factor 1 [Anas platyrhynchos]	1680	Anas platyrhynchos	microtubule-actin cross-linking factor 1
7292					XP_010565095.1	74.0	469	7.599999999999999e-219	Nr			XP_010565095.1 PREDICTED: microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like [Haliaeetus leucocephalus]	1953	Haliaeetus leucocephalus	PREDICTED: microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like
7293					XP_025944140.1	73.8	469	3.35e-218	Nr			XP_025944140.1 microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X2 [Apteryx rowi]	1942	Apteryx rowi	microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X2
7294					XP_025944139.1	73.8	469	3.73e-218	Nr			XP_025944139.1 microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X1 [Apteryx rowi]	1948	Apteryx rowi	microtubule-actin cross-linking factor 1, isoforms 1/2/3/5-like isoform X1
7295					XP_049682686.1	73.8	469	4.24e-218	Nr			XP_049682686.1 microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X3 [Accipiter gentilis]	1974	Accipiter gentilis	microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X3
7296					XP_040403501.1	74.0	469	6.84e-218	Nr			XP_040403501.1 dystonin-like [Cygnus olor]	2081	Cygnus olor	dystonin-like
7297					XP_049682677.1	73.8	469	1.14e-217	Nr			XP_049682677.1 microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X2 [Accipiter gentilis]	2031	Accipiter gentilis	microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X2
7298					XP_049682668.1	73.8	469	2.69e-217	Nr			XP_049682668.1 microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X1 [Accipiter gentilis]	2083	Accipiter gentilis	microtubule-actin cross-linking factor 1, isoforms 6/7-like isoform X1
7299					XP_040444854.1	73.8	469	1.3899999999999999e-216	Nr			XP_040444854.1 microtubule-actin cross-linking factor 1-like isoform X3 [Falco naumanni]	2081	Falco naumanni	microtubule-actin cross-linking factor 1-like isoform X3
7300					A0A4D9DV54	73.0	466	2.19e-216	TrEMBL	DR999_PMT19318	A0A4D9DV54_9SAUR	tr|A0A4D9DV54|A0A4D9DV54_9SAUR Neural retina-specific leucine zipper protein OS=Platysternon megacephalum OX=55544 GN=DR999_PMT19318 PE=4 SV=1	1591	Platysternon megacephalum	Neural retina-specific leucine zipper protein
7301					A0A6J3CDL4	73.6	469	5.17e-216	TrEMBL	LOC116485702	A0A6J3CDL4_AYTFU	tr|A0A6J3CDL4|A0A6J3CDL4_AYTFU microtubule-actin cross-linking factor 1-like OS=Aythya fuligula OX=219594 GN=LOC116485702 PE=4 SV=1	2076	Aythya fuligula	microtubule-actin cross-linking factor 1-like
7302					A0A6J0J529	72.2	468	1.1300000000000002e-213	TrEMBL	LOC108509217	A0A6J0J529_9PASS	tr|A0A6J0J529|A0A6J0J529_9PASS dystonin-like OS=Lepidothrix coronata OX=321398 GN=LOC108509217 PE=4 SV=1	2017	Lepidothrix coronata	dystonin-like
7303					A0A6P8PSF6	74.0	469	5.490000000000001e-213	TrEMBL	PLEC	A0A6P8PSF6_GEOSA	tr|A0A6P8PSF6|A0A6P8PSF6_GEOSA LOW QUALITY PROTEIN: plectin OS=Geotrypetes seraphini OX=260995 GN=PLEC PE=4 SV=1	7129	Geotrypetes seraphini	LOW QUALITY PROTEIN: plectin
7304					A0A8K1LHN4	72.2	472	1.26e-207	TrEMBL	HGM15179_013022	A0A8K1LHN4_9PASS	tr|A0A8K1LHN4|A0A8K1LHN4_9PASS PH domain-containing protein OS=Zosterops borbonicus OX=364589 GN=HGM15179_013022 PE=4 SV=1	5413	Zosterops borbonicus	PH domain-containing protein
7305					A0A6G1PN54	63.6	483	2.7e-199	TrEMBL	EXN66_Car007278	A0A6G1PN54_9TELE	tr|A0A6G1PN54|A0A6G1PN54_9TELE Microtubule-actin cross-linking factor 1 Actin cross-linking family 7 OS=Channa argus OX=215402 GN=EXN66_Car007278 PE=4 SV=1	542	Channa argus	Microtubule-actin cross-linking factor 1 Actin cross-linking family 7
7306					A0A3L8RWU2	68.4	450	5.86e-198	TrEMBL	DV515_00015422	A0A3L8RWU2_CHLGU	tr|A0A3L8RWU2|A0A3L8RWU2_CHLGU Microtubule-actin cross-linking factor 1 OS=Chloebia gouldiae OX=44316 GN=DV515_00015422 PE=4 SV=1	520	Chloebia gouldiae	Microtubule-actin cross-linking factor 1
7307					A0A6F9BBX2	64.1	482	4.1900000000000006e-195	TrEMBL	CSTEINMANNI_LOCUS2529089	A0A6F9BBX2_9TELE	tr|A0A6F9BBX2|A0A6F9BBX2_9TELE PH domain-containing protein OS=Coregonus sp. 'balchen' OX=861768 GN=CSTEINMANNI_LOCUS2529089 PE=4 SV=1	906	Coregonus sp. 'balchen'	PH domain-containing protein
7308					A0A8V0XYJ2	65.0	469	5.41e-194	TrEMBL	LOC121109863	A0A8V0XYJ2_CHICK	tr|A0A8V0XYJ2|A0A8V0XYJ2_CHICK Epiplakin 1 OS=Gallus gallus OX=9031 GN=LOC121109863 PE=4 SV=1	687	Gallus gallus	Epiplakin 1
7309					A0A060X7C7	63.2	481	7.21e-194	TrEMBL	GSONMT00040518001	A0A060X7C7_ONCMY	tr|A0A060X7C7|A0A060X7C7_ONCMY PH domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00040518001 PE=4 SV=1	932	Oncorhynchus mykiss	PH domain-containing protein
7310					A0A3M0LHZ0	71.3	436	7.75e-193	TrEMBL	DUI87_00393	A0A3M0LHZ0_HIRRU	tr|A0A3M0LHZ0|A0A3M0LHZ0_HIRRU Spectrin beta chain, non-erythrocytic 4 OS=Hirundo rustica rustica OX=333673 GN=DUI87_00393 PE=4 SV=1	1842	Hirundo rustica rustica	Spectrin beta chain, non-erythrocytic 4
7311					A0A7J6CAH6	63.1	482	8.45e-192	TrEMBL	G5714_016556	A0A7J6CAH6_9TELE	tr|A0A7J6CAH6|A0A7J6CAH6_9TELE PH domain-containing protein OS=Onychostoma macrolepis OX=369639 GN=G5714_016556 PE=4 SV=1	859	Onychostoma macrolepis	PH domain-containing protein
7312					A0A484D9S5	63.0	470	3.86e-191	TrEMBL	EPR50_G00068360	A0A484D9S5_PERFV	tr|A0A484D9S5|A0A484D9S5_PERFV EF-hand domain-containing protein OS=Perca flavescens OX=8167 GN=EPR50_G00068360 PE=4 SV=1	718	Perca flavescens	EF-hand domain-containing protein
7313					A0A4W5P9A8	63.3	482	1.9e-190	TrEMBL		A0A4W5P9A8_9TELE	tr|A0A4W5P9A8|A0A4W5P9A8_9TELE PH domain-containing protein OS=Hucho hucho OX=62062 PE=4 SV=1	1014	Hucho hucho	PH domain-containing protein
7314					A0A8T2LY31	65.1	482	3.0099999999999998e-189	TrEMBL	MACF1	A0A8T2LY31_ASTMX	tr|A0A8T2LY31|A0A8T2LY31_ASTMX Microtubule-actin cross-linking factor 1-like isoform X1 OS=Astyanax mexicanus OX=7994 GN=MACF1 PE=4 SV=1	2089	Astyanax mexicanus	Microtubule-actin cross-linking factor 1-like isoform X1
7315					A0A8J7NSJ6	66.4	464	7.749999999999999e-189	TrEMBL	Plec	A0A8J7NSJ6_ATRSP	tr|A0A8J7NSJ6|A0A8J7NSJ6_ATRSP PLEC protein (Fragment) OS=Atractosteus spatula OX=7917 GN=Plec PE=4 SV=1	8699	Atractosteus spatula	PLEC protein (Fragment)
7316					A0A8T2ILH5	81.2	341	2.56e-187	TrEMBL	GDO86_019212	A0A8T2ILH5_9PIPI	tr|A0A8T2ILH5|A0A8T2ILH5_9PIPI Microtubule-actin crosslinking factor 1 OS=Hymenochirus boettgeri OX=247094 GN=GDO86_019212 PE=4 SV=1	799	Hymenochirus boettgeri	Microtubule-actin crosslinking factor 1
7317					A0A6P8GBE7	65.8	468	4.84e-186	TrEMBL	LOC105905367	A0A6P8GBE7_CLUHA	tr|A0A6P8GBE7|A0A6P8GBE7_CLUHA dystonin-like isoform X25 OS=Clupea harengus OX=7950 GN=LOC105905367 PE=4 SV=1	4248	Clupea harengus	dystonin-like isoform X25
7318					A0A8C3CXV9	69.3	462	1.07e-185	TrEMBL		A0A8C3CXV9_CAIMO	tr|A0A8C3CXV9|A0A8C3CXV9_CAIMO Nesprin-2 OS=Cairina moschata domestica OX=1240228 PE=4 SV=1	2140	Cairina moschata domestica	Nesprin-2
7319					A0A5N5Q3M4	63.3	482	4.05e-183	TrEMBL	PHYPO_G00001100	A0A5N5Q3M4_PANHP	tr|A0A5N5Q3M4|A0A5N5Q3M4_PANHP MACF1 OS=Pangasianodon hypophthalmus OX=310915 GN=PHYPO_G00001100 PE=4 SV=1	2086	Pangasianodon hypophthalmus	MACF1
